claim_id,event_type,event_timestamp,event_data,actor
CLM-00022,contacted_customer,2022-08-22 04:00:00,,HDL-030
CLM-00022,note_added,2022-08-23 05:00:00,,HDL-030
CLM-00022,contacted_customer,2022-08-25 06:00:00,,HDL-030
CLM-00022,settled,2022-08-31 18:00:00,,HDL-030
CLM-00023,created,2021-09-19 18:00:00,,system
CLM-00023,assigned,2021-09-19 21:00:00,{'handler_id': 'HDL-036'},system
CLM-00023,note_added,2021-09-22 01:00:00,,HDL-036
CLM-00023,doc_uploaded,2021-09-24 04:00:00,,HDL-036
CLM-00023,settled,2021-10-06 18:00:00,,HDL-036
CLM-00024,created,2023-06-17 17:00:00,,system
CLM-00024,assigned,2023-06-17 20:00:00,{'handler_id': 'HDL-039'},system
CLM-00024,doc_uploaded,2023-06-25 21:00:00,,HDL-039
CLM-00024,doc_uploaded,2023-07-02 21:00:00,,HDL-039
CLM-00024,doc_requested,2023-07-06 21:00:00,,HDL-039
CLM-00024,contacted_customer,2023-07-13 21:00:00,,HDL-039
CLM-00024,doc_requested,2023-07-18 00:00:00,,HDL-039
CLM-00024,note_added,2023-07-24 00:00:00,,HDL-039
CLM-00024,doc_requested,2023-07-25 04:00:00,,HDL-039
CLM-00024,note_added,2023-07-27 17:00:00,,HDL-039
CLM-00025,created,2022-03-29 11:00:00,,system
CLM-00025,assigned,2022-03-29 13:00:00,{'handler_id': 'HDL-016'},system
CLM-00025,note_added,2022-04-01 11:00:00,,HDL-016
CLM-00026,created,2022-05-12 14:00:00,,system
CLM-00026,assigned,2022-05-12 16:00:00,{'handler_id': 'HDL-031'},system
CLM-00026,contacted_customer,2022-05-13 17:00:00,,HDL-031
CLM-00026,denied,2022-05-16 14:00:00,,HDL-031
CLM-00027,created,2022-05-12 13:00:00,,system
CLM-00027,assigned,2022-05-12 14:00:00,{'handler_id': 'HDL-030'},system
CLM-00027,settled,2022-05-15 13:00:00,,HDL-030
CLM-00028,created,2022-01-21 15:00:00,,system
CLM-00028,assigned,2022-01-21 18:00:00,{'handler_id': 'HDL-028'},system
CLM-00028,doc_uploaded,2022-01-24 01:00:00,,HDL-028
CLM-00028,contacted_customer,2022-01-28 02:00:00,,HDL-028
CLM-00028,doc_uploaded,2022-02-03 04:00:00,,HDL-028
CLM-00028,doc_uploaded,2022-02-09 04:00:00,,HDL-028
CLM-00028,doc_requested,2022-02-14 06:00:00,,HDL-028
CLM-00028,note_added,2022-02-16 09:00:00,,HDL-028
CLM-00028,settled,2022-02-20 15:00:00,,HDL-028
CLM-00029,created,2024-03-05 14:00:00,,system
CLM-00029,assigned,2024-03-05 17:00:00,{'handler_id': 'HDL-038'},system
CLM-00029,doc_uploaded,2024-03-07 23:00:00,,HDL-038
CLM-00029,note_added,2024-03-09 03:00:00,,HDL-038
CLM-00029,doc_uploaded,2024-03-10 10:00:00,,HDL-038
CLM-00029,doc_uploaded,2024-03-13 13:00:00,,HDL-038
CLM-00029,doc_requested,2024-03-16 18:00:00,,HDL-038
CLM-00029,contacted_customer,2024-03-21 01:00:00,,HDL-038
CLM-00029,doc_requested,2024-03-28 03:00:00,,HDL-038
CLM-00029,note_added,2024-04-12 14:00:00,,HDL-038
CLM-00030,created,2022-12-01 09:00:00,,system
CLM-00030,assigned,2022-12-01 12:00:00,{'handler_id': 'HDL-040'},system
CLM-00030,contacted_customer,2022-12-04 15:00:00,,HDL-040
CLM-00030,note_added,2022-12-12 15:00:00,,HDL-040
CLM-00030,contacted_customer,2022-12-21 17:00:00,,HDL-040
CLM-00030,doc_requested,2022-12-27 00:00:00,,HDL-040
CLM-00030,doc_uploaded,2023-01-04 05:00:00,,HDL-040
CLM-00030,note_added,2023-01-05 08:00:00,,HDL-040
CLM-00030,contacted_customer,2023-01-12 08:00:00,,HDL-040
CLM-00030,contacted_customer,2023-01-22 15:00:00,,HDL-040
CLM-00030,settled,2023-01-24 09:00:00,,HDL-040
CLM-00031,created,2021-09-21 18:00:00,,system
CLM-00031,assigned,2021-09-21 21:00:00,{'handler_id': 'HDL-019'},system
CLM-00031,doc_requested,2021-09-22 22:00:00,,HDL-019
CLM-00031,doc_uploaded,2021-09-24 05:00:00,,HDL-019
CLM-00031,settled,2021-09-28 18:00:00,,HDL-019
CLM-00032,created,2021-10-17 11:00:00,,system
CLM-00032,assigned,2021-10-17 15:00:00,{'handler_id': 'HDL-016'},system
CLM-00032,note_added,2021-10-28 11:00:00,,HDL-016
CLM-00033,created,2021-12-11 16:00:00,,system
CLM-00033,assigned,2021-12-11 18:00:00,{'handler_id': 'HDL-019'},system
CLM-00033,note_added,2021-12-13 00:00:00,,HDL-019
CLM-00033,contacted_customer,2021-12-16 04:00:00,,HDL-019
CLM-00033,doc_uploaded,2021-12-17 04:00:00,,HDL-019
CLM-00033,note_added,2021-12-30 16:00:00,,HDL-019
CLM-00034,created,2022-10-18 18:00:00,,system
CLM-00034,assigned,2022-10-18 22:00:00,{'handler_id': 'HDL-043'},system
CLM-00034,doc_uploaded,2022-10-20 00:00:00,,HDL-043
CLM-00034,note_added,2022-10-27 18:00:00,,HDL-043
CLM-00035,created,2024-08-02 13:00:00,,system
CLM-00035,assigned,2024-08-02 14:00:00,{'handler_id': 'HDL-035'},system
CLM-00035,contacted_customer,2024-08-11 17:00:00,,HDL-035
CLM-00035,doc_uploaded,2024-08-14 17:00:00,,HDL-035
CLM-00035,doc_requested,2024-08-22 18:00:00,,HDL-035
CLM-00035,doc_requested,2024-08-24 22:00:00,,HDL-035
CLM-00035,note_added,2024-08-29 01:00:00,,HDL-035
CLM-00035,doc_uploaded,2024-09-01 05:00:00,,HDL-035
CLM-00035,doc_requested,2024-09-02 05:00:00,,HDL-035
CLM-00035,doc_uploaded,2024-09-04 08:00:00,,HDL-035
CLM-00035,settled,2024-09-11 13:00:00,,HDL-035
CLM-00036,created,2022-08-24 17:00:00,,system
CLM-00036,assigned,2022-08-24 19:00:00,{'handler_id': 'HDL-048'},system
CLM-00036,doc_requested,2022-08-26 01:00:00,,HDL-048
CLM-00036,doc_uploaded,2022-08-29 04:00:00,,HDL-048
CLM-00036,doc_uploaded,2022-09-06 08:00:00,,HDL-048
CLM-00036,note_added,2022-09-13 15:00:00,,HDL-048
CLM-00036,note_added,2022-09-29 17:00:00,,HDL-048
CLM-00037,created,2024-05-02 17:00:00,,system
CLM-00037,assigned,2024-05-02 21:00:00,{'handler_id': 'HDL-014'},system
CLM-00037,settled,2024-05-08 17:00:00,,HDL-014
CLM-00038,created,2022-12-13 17:00:00,,system
CLM-00038,assigned,2022-12-13 19:00:00,{'handler_id': 'HDL-016'},system
CLM-00038,doc_uploaded,2022-12-15 02:00:00,,HDL-016
CLM-00038,settled,2022-12-17 17:00:00,,HDL-016
CLM-00039,created,2022-03-13 17:00:00,,system
CLM-00039,assigned,2022-03-13 18:00:00,{'handler_id': 'HDL-027'},system
CLM-00039,settled,2022-03-20 17:00:00,,HDL-027
CLM-00040,created,2024-01-13 13:00:00,,system
CLM-00040,assigned,2024-01-13 16:00:00,{'handler_id': 'HDL-004'},system
CLM-00040,escalated,2024-01-15 17:00:00,,HDL-004
CLM-00040,doc_requested,2024-01-17 21:00:00,,HDL-004
CLM-00040,settled,2024-01-28 13:00:00,,HDL-004
CLM-00041,created,2022-08-19 15:00:00,,system
CLM-00041,assigned,2022-08-19 16:00:00,{'handler_id': 'HDL-013'},system
CLM-00041,doc_requested,2022-08-26 22:00:00,,HDL-013
CLM-00041,note_added,2022-08-31 02:00:00,,HDL-013
CLM-00041,doc_requested,2022-09-04 08:00:00,,HDL-013
CLM-00041,note_added,2022-09-09 08:00:00,,HDL-013
CLM-00041,doc_requested,2022-09-11 12:00:00,,HDL-013
CLM-00041,doc_uploaded,2022-09-15 17:00:00,,HDL-013
CLM-00041,doc_requested,2022-09-23 23:00:00,,HDL-013
CLM-00041,settled,2022-09-24 15:00:00,,HDL-013
CLM-00042,created,2024-02-29 16:00:00,,system
CLM-00042,assigned,2024-02-29 18:00:00,{'handler_id': 'HDL-021'},system
CLM-00042,contacted_customer,2024-03-04 18:00:00,,HDL-021
CLM-00042,doc_uploaded,2024-03-14 19:00:00,,HDL-021
CLM-00042,escalated,2024-03-16 02:00:00,,HDL-021
CLM-00042,doc_uploaded,2024-03-28 08:00:00,,HDL-021
CLM-00042,doc_uploaded,2024-04-06 13:00:00,,HDL-021
CLM-00042,contacted_customer,2024-04-07 18:00:00,,HDL-021
CLM-00042,escalated,2024-04-12 20:00:00,,HDL-021
CLM-00042,escalated,2024-04-13 21:00:00,,HDL-021
CLM-00042,settled,2024-04-22 16:00:00,,HDL-021
CLM-00043,created,2022-12-01 14:00:00,,system
CLM-00043,assigned,2022-12-01 17:00:00,{'handler_id': 'HDL-038'},system
CLM-00043,denied,2022-12-08 14:00:00,,HDL-038
CLM-00044,created,2023-01-24 09:00:00,,system
CLM-00044,assigned,2023-01-24 11:00:00,{'handler_id': 'HDL-041'},system
CLM-00044,settled,2023-01-28 09:00:00,,HDL-041
CLM-00045,created,2021-11-25 10:00:00,,system
CLM-00045,assigned,2021-11-25 12:00:00,{'handler_id': 'HDL-004'},system
CLM-00045,contacted_customer,2021-11-26 16:00:00,,HDL-004
CLM-00045,doc_uploaded,2021-11-27 19:00:00,,HDL-004
CLM-00045,doc_uploaded,2021-11-29 01:00:00,,HDL-004
CLM-00045,doc_requested,2021-11-30 02:00:00,,HDL-004
CLM-00045,settled,2021-12-06 10:00:00,,HDL-004
CLM-00046,created,2023-03-29 11:00:00,,system
CLM-00046,assigned,2023-03-29 15:00:00,{'handler_id': 'HDL-012'},system
CLM-00046,doc_uploaded,2023-03-30 20:00:00,,HDL-012
CLM-00046,doc_uploaded,2023-03-31 22:00:00,,HDL-012
CLM-00046,settled,2023-04-04 11:00:00,,HDL-012
CLM-00047,created,2022-05-30 11:00:00,,system
CLM-00047,assigned,2022-05-30 13:00:00,{'handler_id': 'HDL-029'},system
CLM-00047,note_added,2022-05-31 14:00:00,,HDL-029
CLM-00047,doc_requested,2022-06-02 19:00:00,,HDL-029
CLM-00047,doc_requested,2022-06-03 20:00:00,,HDL-029
CLM-00047,denied,2022-06-17 11:00:00,,HDL-029
CLM-00048,created,2022-05-24 14:00:00,,system
CLM-00048,assigned,2022-05-24 15:00:00,{'handler_id': 'HDL-046'},system
CLM-00048,note_added,2022-05-28 14:00:00,,HDL-046
CLM-00049,created,2024-04-19 12:00:00,,system
CLM-00049,assigned,2024-04-19 13:00:00,{'handler_id': 'HDL-045'},system
CLM-00049,contacted_customer,2024-04-20 15:00:00,,HDL-045
CLM-00049,note_added,2024-04-21 17:00:00,,HDL-045
CLM-00049,doc_uploaded,2024-04-22 20:00:00,,HDL-045
CLM-00049,note_added,2024-04-24 12:00:00,,HDL-045
CLM-00050,created,2024-08-10 18:00:00,,system
CLM-00050,assigned,2024-08-10 20:00:00,{'handler_id': 'HDL-041'},system
CLM-00050,escalated,2024-08-12 03:00:00,,HDL-041
CLM-00050,doc_uploaded,2024-08-14 04:00:00,,HDL-041
CLM-00050,doc_requested,2024-08-16 11:00:00,,HDL-041
CLM-00050,settled,2024-08-25 18:00:00,,HDL-041
CLM-00051,created,2021-10-07 15:00:00,,system
CLM-00051,assigned,2021-10-07 18:00:00,{'handler_id': 'HDL-050'},system
CLM-00051,doc_requested,2021-10-15 01:00:00,,HDL-050
CLM-00051,contacted_customer,2021-10-20 04:00:00,,HDL-050
CLM-00051,contacted_customer,2021-10-22 07:00:00,,HDL-050
CLM-00051,contacted_customer,2021-10-28 07:00:00,,HDL-050
CLM-00051,doc_requested,2021-11-04 09:00:00,,HDL-050
CLM-00051,doc_uploaded,2021-11-06 12:00:00,,HDL-050
CLM-00051,doc_uploaded,2021-11-09 15:00:00,,HDL-050
CLM-00051,doc_uploaded,2021-11-11 17:00:00,,HDL-050
CLM-00051,escalated,2021-11-12 17:00:00,,HDL-050
CLM-00051,settled,2021-11-18 15:00:00,,HDL-050
CLM-00052,created,2022-12-17 16:00:00,,system
CLM-00052,assigned,2022-12-17 18:00:00,{'handler_id': 'HDL-045'},system
CLM-00052,note_added,2022-12-19 01:00:00,,HDL-045
CLM-00052,settled,2022-12-23 16:00:00,,HDL-045
CLM-00053,created,2021-08-02 16:00:00,,system
CLM-00053,assigned,2021-08-02 19:00:00,{'handler_id': 'HDL-009'},system
CLM-00053,note_added,2021-08-03 22:00:00,,HDL-009
CLM-00053,settled,2021-08-10 16:00:00,,HDL-009
CLM-00054,created,2024-01-19 17:00:00,,system
CLM-00054,assigned,2024-01-19 19:00:00,{'handler_id': 'HDL-015'},system
CLM-00054,doc_requested,2024-01-20 22:00:00,,HDL-015
CLM-00054,contacted_customer,2024-01-23 02:00:00,,HDL-015
CLM-00054,note_added,2024-01-31 17:00:00,,HDL-015
CLM-00055,created,2021-11-17 18:00:00,,system
CLM-00055,assigned,2021-11-17 19:00:00,{'handler_id': 'HDL-018'},system
CLM-00055,escalated,2021-11-19 19:00:00,,HDL-018
CLM-00055,escalated,2021-11-21 01:00:00,,HDL-018
CLM-00055,doc_requested,2021-11-23 06:00:00,,HDL-018
CLM-00055,note_added,2021-11-24 13:00:00,,HDL-018
CLM-00055,settled,2021-12-01 18:00:00,,HDL-018
CLM-00056,created,2023-11-03 17:00:00,,system
CLM-00056,assigned,2023-11-03 18:00:00,{'handler_id': 'HDL-009'},system
CLM-00056,settled,2023-11-09 17:00:00,,HDL-009
CLM-00057,created,2023-12-22 16:00:00,,system
CLM-00057,assigned,2023-12-22 19:00:00,{'handler_id': 'HDL-021'},system
CLM-00057,note_added,2023-12-23 23:00:00,,HDL-021
CLM-00057,note_added,2023-12-25 16:00:00,,HDL-021
CLM-00058,created,2022-04-10 16:00:00,,system
CLM-00058,assigned,2022-04-10 17:00:00,{'handler_id': 'HDL-045'},system
CLM-00058,doc_uploaded,2022-04-11 22:00:00,,HDL-045
CLM-00058,escalated,2022-04-14 05:00:00,,HDL-045
CLM-00058,note_added,2022-04-25 16:00:00,,HDL-045
CLM-00059,created,2023-09-08 10:00:00,,system
CLM-00059,assigned,2023-09-08 12:00:00,{'handler_id': 'HDL-008'},system
CLM-00059,contacted_customer,2023-09-12 15:00:00,,HDL-008
CLM-00059,doc_requested,2023-09-13 21:00:00,,HDL-008
CLM-00059,escalated,2023-09-15 01:00:00,,HDL-008
CLM-00059,note_added,2023-09-19 03:00:00,,HDL-008
CLM-00059,note_added,2023-09-21 05:00:00,,HDL-008
CLM-00059,note_added,2023-10-04 10:00:00,,HDL-008
CLM-00060,created,2023-05-20 13:00:00,,system
CLM-00060,assigned,2023-05-20 15:00:00,{'handler_id': 'HDL-005'},system
CLM-00060,note_added,2023-05-27 13:00:00,,HDL-005
CLM-00061,created,2024-01-08 16:00:00,,system
CLM-00061,assigned,2024-01-08 18:00:00,{'handler_id': 'HDL-034'},system
CLM-00061,doc_uploaded,2024-01-10 19:00:00,,HDL-034
CLM-00061,doc_requested,2024-01-15 00:00:00,,HDL-034
CLM-00061,contacted_customer,2024-01-19 01:00:00,,HDL-034
CLM-00061,doc_uploaded,2024-01-22 04:00:00,,HDL-034
CLM-00061,doc_requested,2024-01-26 07:00:00,,HDL-034
CLM-00061,note_added,2024-01-29 16:00:00,,HDL-034
CLM-00062,created,2024-01-16 12:00:00,,system
CLM-00062,assigned,2024-01-16 16:00:00,{'handler_id': 'HDL-034'},system
CLM-00062,escalated,2024-01-19 19:00:00,,HDL-034
CLM-00062,note_added,2024-01-21 21:00:00,,HDL-034
CLM-00062,doc_uploaded,2024-01-24 21:00:00,,HDL-034
CLM-00062,settled,2024-02-02 12:00:00,,HDL-034
CLM-00063,created,2024-02-03 15:00:00,,system
CLM-00063,assigned,2024-02-03 17:00:00,{'handler_id': 'HDL-010'},system
CLM-00063,note_added,2024-02-04 19:00:00,,HDL-010
CLM-00063,doc_uploaded,2024-02-06 21:00:00,,HDL-010
CLM-00063,note_added,2024-02-15 15:00:00,,HDL-010
CLM-00064,created,2022-07-22 12:00:00,,system
CLM-00064,assigned,2022-07-22 14:00:00,{'handler_id': 'HDL-004'},system
CLM-00064,doc_uploaded,2022-07-23 21:00:00,,HDL-004
CLM-00064,settled,2022-07-26 12:00:00,,HDL-004
CLM-00065,created,2024-11-25 09:00:00,,system
CLM-00065,assigned,2024-11-25 13:00:00,{'handler_id': 'HDL-005'},system
CLM-00065,settled,2024-11-29 09:00:00,,HDL-005
CLM-00066,created,2022-09-15 09:00:00,,system
CLM-00066,assigned,2022-09-15 13:00:00,{'handler_id': 'HDL-020'},system
CLM-00066,settled,2022-09-18 09:00:00,,HDL-020
CLM-00067,created,2022-09-20 11:00:00,,system
CLM-00067,assigned,2022-09-20 14:00:00,{'handler_id': 'HDL-013'},system
CLM-00067,escalated,2022-09-22 20:00:00,,HDL-013
CLM-00067,doc_requested,2022-09-28 21:00:00,,HDL-013
CLM-00067,note_added,2022-10-02 21:00:00,,HDL-013
CLM-00067,note_added,2022-10-10 21:00:00,,HDL-013
CLM-00067,doc_uploaded,2022-10-18 00:00:00,,HDL-013
CLM-00067,doc_uploaded,2022-10-24 05:00:00,,HDL-013
CLM-00067,settled,2022-10-29 11:00:00,,HDL-013
CLM-00068,created,2022-01-04 16:00:00,,system
CLM-00068,assigned,2022-01-04 20:00:00,{'handler_id': 'HDL-044'},system
CLM-00068,contacted_customer,2022-01-06 01:00:00,,HDL-044
CLM-00068,note_added,2022-01-12 08:00:00,,HDL-044
CLM-00068,contacted_customer,2022-01-17 15:00:00,,HDL-044
CLM-00068,escalated,2022-01-23 18:00:00,,HDL-044
CLM-00068,doc_requested,2022-01-26 00:00:00,,HDL-044
CLM-00068,note_added,2022-02-05 16:00:00,,HDL-044
CLM-00069,created,2023-02-13 09:00:00,,system
CLM-00069,assigned,2023-02-13 12:00:00,{'handler_id': 'HDL-038'},system
CLM-00069,note_added,2023-02-16 09:00:00,,HDL-038
CLM-00070,created,2023-10-15 12:00:00,,system
CLM-00070,assigned,2023-10-15 13:00:00,{'handler_id': 'HDL-003'},system
CLM-00070,doc_requested,2023-10-16 16:00:00,,HDL-003
CLM-00070,doc_uploaded,2023-10-17 20:00:00,,HDL-003
CLM-00070,settled,2023-10-18 12:00:00,,HDL-003
CLM-00071,created,2024-04-18 10:00:00,,system
CLM-00071,assigned,2024-04-18 14:00:00,{'handler_id': 'HDL-032'},system
CLM-00071,contacted_customer,2024-04-19 18:00:00,,HDL-032
CLM-00071,contacted_customer,2024-04-20 23:00:00,,HDL-032
CLM-00071,note_added,2024-04-22 05:00:00,,HDL-032
CLM-00071,settled,2024-04-24 10:00:00,,HDL-032
CLM-00072,created,2023-07-02 18:00:00,,system
CLM-00072,assigned,2023-07-02 20:00:00,{'handler_id': 'HDL-031'},system
CLM-00072,escalated,2023-07-04 00:00:00,,HDL-031
CLM-00072,note_added,2023-07-15 18:00:00,,HDL-031
CLM-00073,created,2023-03-30 10:00:00,,system
CLM-00073,assigned,2023-03-30 13:00:00,{'handler_id': 'HDL-026'},system
CLM-00073,doc_uploaded,2023-04-03 14:00:00,,HDL-026
CLM-00073,note_added,2023-04-10 21:00:00,,HDL-026
CLM-00073,note_added,2023-04-15 22:00:00,,HDL-026
CLM-00073,note_added,2023-04-19 05:00:00,,HDL-026
CLM-00073,contacted_customer,2023-04-21 09:00:00,,HDL-026
CLM-00073,doc_requested,2023-04-25 10:00:00,,HDL-026
CLM-00073,note_added,2023-05-08 10:00:00,,HDL-026
CLM-00074,created,2022-09-30 15:00:00,,system
CLM-00074,assigned,2022-09-30 19:00:00,{'handler_id': 'HDL-021'},system
CLM-00074,note_added,2022-10-01 19:00:00,,HDL-021
CLM-00074,settled,2022-10-08 15:00:00,,HDL-021
CLM-00075,created,2021-09-05 12:00:00,,system
CLM-00075,assigned,2021-09-05 16:00:00,{'handler_id': 'HDL-028'},system
CLM-00075,doc_requested,2021-09-06 17:00:00,,HDL-028
CLM-00075,settled,2021-09-12 12:00:00,,HDL-028
CLM-00076,created,2023-06-09 10:00:00,,system
CLM-00076,assigned,2023-06-09 14:00:00,{'handler_id': 'HDL-020'},system
CLM-00076,doc_uploaded,2023-06-10 20:00:00,,HDL-020
CLM-00076,settled,2023-06-14 10:00:00,,HDL-020
CLM-00077,created,2024-05-15 13:00:00,,system
CLM-00077,assigned,2024-05-15 15:00:00,{'handler_id': 'HDL-002'},system
CLM-00077,doc_requested,2024-05-20 21:00:00,,HDL-002
CLM-00077,note_added,2024-05-23 02:00:00,,HDL-002
CLM-00077,note_added,2024-05-25 05:00:00,,HDL-002
CLM-00077,doc_requested,2024-05-28 07:00:00,,HDL-002
CLM-00077,note_added,2024-06-05 10:00:00,,HDL-002
CLM-00077,note_added,2024-06-12 10:00:00,,HDL-002
CLM-00077,contacted_customer,2024-06-21 12:00:00,,HDL-002
CLM-00077,note_added,2024-06-28 13:00:00,,HDL-002
CLM-00078,created,2022-11-18 12:00:00,,system
CLM-00078,assigned,2022-11-18 13:00:00,{'handler_id': 'HDL-015'},system
