policy_id,policyholder_id,vehicle_id,policy_type,inception_date,expiry_date,annual_premium,coverage_limit,deductible
POL-8077F954,PH-A31AE4EE,VH-B6AA3C44,comprehensive,2021-07-16,2022-07-16,69.32,5433.26,500
POL-432CAC3E,PH-F5D8B4DC,VH-7D928E8C,comprehensive,2022-05-24,2023-05-24,403.22,49107.98,0
POL-553892A5,PH-8D22AA5B,VH-4D7F56BF,third_party,2023-02-28,2024-02-28,282.3,27520.24,1000
POL-0050D102,PH-34B1AFC7,VH-3BD2569D,comprehensive,2022-04-28,2023-04-28,928.64,77271.72,0
POL-30F81936,PH-6490C36D,VH-CDF98DA4,fire_theft,2021-04-10,2022-04-10,206.0,17714.8,250
POL-ADA0C1E6,PH-66091482,VH-75E3DE62,fire_theft,2022-01-07,2023-01-07,130.59,22359.46,500
POL-B790132C,PH-2EF2F55F,VH-FB4A0DAD,comprehensive,2023-02-05,2024-02-05,154.2,17271.12,500
POL-ED8222FB,PH-8CFCE445,VH-3AB8CEFA,third_party,2022-06-11,2023-06-11,93.58,25839.03,750
POL-B2C47A20,PH-4EDC3BF9,VH-E3BFE2F0,comprehensive,2022-10-02,2023-10-02,187.48,18784.81,750
POL-56BFF5B8,PH-3AB0E54D,VH-358F8ACF,comprehensive,2022-01-08,2023-01-08,96.19,9577.15,750
POL-125BBE1B,PH-3CED7228,VH-38B7BB43,comprehensive,2023-06-19,2024-06-18,263.24,16104.34,0
POL-0614F8B4,PH-7E7285EA,VH-3A26F370,third_party,2022-06-23,2023-06-23,301.73,73662.72,0
POL-4406D0B6,PH-13B9453B,VH-ACC4006A,comprehensive,2023-02-09,2024-02-09,500.16,40153.15,500
POL-4F2ED346,PH-4D08739A,VH-8E14E829,fire_theft,2021-04-20,2022-04-20,78.3,9591.29,750
POL-BA0C35FD,PH-0943648F,VH-FAF421A8,comprehensive,2021-06-18,2022-06-18,82.58,4734.02,250
POL-571F1B9B,PH-D388E37B,VH-B45E5A3C,third_party,2022-12-30,2023-12-30,131.7,19368.37,250
POL-BC1DEB7A,PH-90879047,VH-BEB17DCE,third_party,2021-11-12,2022-11-12,117.6,26656.01,500
POL-D7E3DB4E,PH-F22D97DE,VH-FE772B81,comprehensive,2023-03-27,2024-03-26,379.66,48350.88,500
POL-0DBBCB68,PH-C8C5940B,VH-4A821806,third_party,2021-08-01,2022-08-01,638.4,156419.07,0
POL-E8E7DE32,PH-7FE57ECE,VH-E8A7732D,comprehensive,2023-01-07,2024-01-07,686.61,38068.27,500
POL-B6F55547,PH-6D160EAC,VH-72D9C8D7,comprehensive,2021-09-09,2022-09-09,408.4,44356.52,500
POL-BE1CD062,PH-94D15F02,VH-631A9E03,comprehensive,2021-08-11,2022-08-11,311.65,34048.21,1000
POL-34727BA6,PH-3A103595,VH-C488CEE0,fire_theft,2021-10-19,2022-10-19,131.91,17234.43,750
POL-CC522E8C,PH-C2089724,VH-C7457823,third_party,2023-08-27,2024-08-26,189.35,54743.0,0
POL-EC1FF9DE,PH-C67C2D96,VH-B21A3CEB,third_party,2022-12-15,2023-12-15,677.73,137940.0,1000
POL-8E48F6EB,PH-BB9A90F3,VH-D37F311F,third_party,2023-08-22,2024-08-21,219.24,48236.38,500
POL-2AC09376,PH-76B4A710,VH-F49693D9,third_party,2023-09-18,2024-09-17,286.15,34084.78,500
POL-D917305B,PH-D4CFF094,VH-0C37126D,comprehensive,2021-03-05,2022-03-05,710.67,62019.49,1000
POL-6BEFDAB6,PH-B3809B07,VH-F6AF3A27,fire_theft,2023-11-27,2024-11-26,132.66,18655.06,500
POL-7D650A33,PH-12B26064,VH-8409A257,third_party,2021-01-31,2022-01-31,310.04,62519.77,250
POL-27C5D27E,PH-4A8443B7,VH-DFE6F842,third_party,2021-07-08,2022-07-08,47.46,6085.21,750
POL-B7A924F2,PH-FEBE1125,VH-1160C4B3,third_party,2023-11-22,2024-11-21,438.16,70223.91,0
POL-D1975E3A,PH-B9854878,VH-DD2512D6,comprehensive,2021-03-05,2022-03-05,1135.28,53817.81,250
POL-472D8039,PH-5C7762A6,VH-FC3CA011,third_party,2021-09-25,2022-09-25,207.76,38002.77,0
POL-5550CD8C,PH-FA6A7B3E,VH-28A48813,third_party,2021-06-01,2022-06-01,192.82,47387.31,500
POL-885762B0,PH-86AFC898,VH-2E64EB93,third_party,2023-06-27,2024-06-26,201.98,37669.64,500
POL-0AA7B906,PH-531D7BB1,VH-CC9CCA5B,comprehensive,2022-10-15,2023-10-15,366.76,29196.06,750
POL-A40EBFB9,PH-42283B55,VH-26B19A79,comprehensive,2021-12-13,2022-12-13,147.86,12366.33,500
POL-57CDAEE3,PH-DE487C21,VH-B591CC75,third_party,2021-05-04,2022-05-04,194.93,53486.31,250
POL-80654761,PH-D3A6EB81,VH-27ACA3A8,fire_theft,2021-07-23,2022-07-23,528.4,44027.25,250
POL-7968F47D,PH-7311268D,VH-9C022DC4,comprehensive,2023-02-10,2024-02-10,543.93,54875.34,250
POL-4561511B,PH-C6F3D716,VH-F854FFAD,third_party,2023-04-13,2024-04-12,100.85,13974.35,750
POL-6A928E52,PH-683703CD,VH-3A4DD047,third_party,2023-07-17,2024-07-16,512.25,72536.64,750
POL-4299C8A6,PH-87BC057B,VH-9DE8CF8C,comprehensive,2021-03-09,2022-03-09,670.19,61843.19,250
POL-F18FAF34,PH-92AA6081,VH-D2A7049A,third_party,2022-01-08,2023-01-08,367.13,116935.41,1000
POL-265EC2B5,PH-52F6F889,VH-A90B766D,third_party,2022-03-13,2023-03-13,50.35,7356.65,750
POL-4FE2E0F0,PH-B1F7186B,VH-3CA4941B,comprehensive,2023-05-16,2024-05-15,260.76,14192.89,1000
POL-270881C4,PH-DCAD2353,VH-A55B30B9,fire_theft,2023-04-08,2024-04-07,1178.77,158595.91,1000
POL-4B08F1A5,PH-1B6526A3,VH-30162D06,third_party,2021-04-02,2022-04-02,196.13,53476.35,750
POL-E6DB865D,PH-62E4A164,VH-2727F938,fire_theft,2021-09-20,2022-09-20,152.04,17040.82,0
POL-0DB14727,PH-99B0AB22,VH-31A92082,fire_theft,2022-02-06,2023-02-06,355.7,51902.78,250
POL-38C2A13F,PH-49DCCF66,VH-755A4494,fire_theft,2022-08-25,2023-08-25,212.93,30579.6,750
POL-FA5D0DEE,PH-27B544E9,VH-EA982EA7,third_party,2022-06-25,2023-06-25,247.28,68352.73,500
POL-18786D7C,PH-D116DC86,VH-D1E967E5,third_party,2023-05-08,2024-05-07,205.25,33275.08,500
POL-C4F5B999,PH-D629E0D1,VH-9A5713C1,third_party,2022-07-19,2023-07-19,334.82,58723.71,0
POL-4ED0F1ED,PH-55DDE625,VH-ACAAEB9E,comprehensive,2021-12-11,2022-12-11,1107.02,126737.77,0
POL-0A3F5A6E,PH-E3FE149D,VH-8FBB5262,third_party,2023-04-03,2024-04-02,615.29,78250.3,0
POL-BC8D0FDF,PH-5A663C85,VH-D37314A2,comprehensive,2023-10-16,2024-10-15,168.46,13981.5,250
POL-D030AD53,PH-1CFF040B,VH-586E788A,fire_theft,2023-03-29,2024-03-28,60.65,9141.35,0
POL-4F7C4F5A,PH-B774CBAC,VH-71934CD3,third_party,2023-10-15,2024-10-14,212.84,62772.36,1000
POL-A29168A8,PH-17204941,VH-6F40DCA5,third_party,2023-02-12,2024-02-12,305.03,66947.42,1000
POL-EF1F40D4,PH-6A027F54,VH-60C705F3,third_party,2021-07-19,2022-07-19,284.94,33379.51,250
POL-F3B01615,PH-68E02777,VH-CEFE4BDE,third_party,2021-11-14,2022-11-14,733.32,116999.18,250
POL-3700458D,PH-F97FFBAC,VH-5E0DDF3D,third_party,2023-12-17,2024-12-16,246.55,44433.41,0
POL-EF37842C,PH-F595A302,VH-A945936A,comprehensive,2023-04-25,2024-04-24,150.77,18289.38,750
POL-01120F0A,PH-6DB57ADF,VH-3F4E71B2,third_party,2022-09-08,2023-09-08,192.57,28084.45,750
POL-5718815A,PH-8B57C30B,VH-C19B45FB,third_party,2023-10-13,2024-10-12,149.1,28612.52,750
POL-F31C2955,PH-ABC035AD,VH-661CC91B,comprehensive,2023-08-16,2024-08-15,206.56,14331.45,750
POL-80933817,PH-C653A202,VH-1A7A83E4,third_party,2021-03-27,2022-03-27,149.85,24688.84,500
POL-BDDE0BC9,PH-4F343F9C,VH-7160D941,third_party,2021-02-20,2022-02-20,226.97,66210.93,1000
POL-8E357D54,PH-26DBD4D0,VH-7D758AA7,third_party,2022-04-11,2023-04-11,196.34,31526.8,500
POL-3A91F07C,PH-2B42D6BA,VH-108F4E1D,comprehensive,2022-11-15,2023-11-15,614.28,52245.2,250
POL-D8D264E3,PH-03486869,VH-35D909E5,third_party,2021-10-17,2022-10-17,164.52,31602.2,1000
POL-59E66D99,PH-FB5521B4,VH-CE8FA62D,third_party,2022-01-25,2023-01-25,531.19,124541.46,500
POL-6577AC94,PH-57082BA5,VH-04827A00,third_party,2022-09-11,2023-09-11,727.85,77767.19,1000
POL-310EB7D7,PH-313E1778,VH-1C53F4A3,third_party,2022-09-04,2023-09-04,311.12,33055.42,500
POL-375D841E,PH-353DF6F2,VH-6B22E2E5,third_party,2022-05-10,2023-05-10,477.82,85714.79,500
POL-49B2E877,PH-D993F4E2,VH-CB9E59A7,third_party,2021-11-20,2022-11-20,104.12,11120.77,500
POL-C8E06359,PH-5012475B,VH-34AEEF99,fire_theft,2023-07-31,2024-07-30,220.41,17097.19,750
POL-CC196F80,PH-2ABDCC03,VH-848019DF,third_party,2021-04-06,2022-04-06,540.58,118082.93,0
POL-AB6014F1,PH-CEE5C54D,VH-3B7FB873,comprehensive,2021-01-25,2022-01-25,582.78,41083.31,0
POL-C20C963B,PH-991BEFC2,VH-4C26376C,fire_theft,2022-11-23,2023-11-23,164.6,19440.9,250
POL-57BBEFBB,PH-EEDA1F9C,VH-35EDFAD5,third_party,2021-12-22,2022-12-22,501.08,80061.68,750
POL-11DAF999,PH-BD1E7FCF,VH-569D69DD,third_party,2021-07-17,2022-07-17,160.91,27154.11,1000
POL-EBE450D0,PH-CA499410,VH-E02CF5B7,third_party,2023-06-07,2024-06-06,495.77,95221.42,0
POL-DA82F3A2,PH-31E1F958,VH-BD7CEC1F,comprehensive,2022-03-31,2023-03-31,525.28,60499.22,1000
POL-56302161,PH-660442B0,VH-1D4DB17B,third_party,2021-01-04,2022-01-04,125.71,31828.44,250
POL-2B9D2BA0,PH-EFE0261C,VH-DD76DDF0,comprehensive,2022-09-14,2023-09-14,570.32,35345.97,750
POL-FD661864,PH-BD119156,VH-5C44BEDF,comprehensive,2023-03-24,2024-03-23,142.94,10124.44,1000
POL-5F66CA0D,PH-55800FBA,VH-EB6E93C8,comprehensive,2023-08-11,2024-08-10,288.16,14266.58,250
POL-0E469BAD,PH-E94D5C3A,VH-9CC2376C,fire_theft,2023-11-19,2024-11-18,185.38,16154.89,1000
POL-2FCA083D,PH-BEF101E1,VH-97DD1D4D,third_party,2023-04-28,2024-04-27,428.87,71927.21,250
POL-43F7FAF5,PH-4B658A46,VH-A12553AB,comprehensive,2023-05-27,2024-05-26,181.49,11102.58,1000
POL-F31E28F6,PH-961DAF17,VH-BB9A0922,third_party,2021-07-08,2022-07-08,237.79,46528.74,1000
POL-FC7007A0,PH-F90198F7,VH-F55F1731,third_party,2021-07-21,2022-07-21,140.27,39942.34,250
POL-B45786C0,PH-5E103FDA,VH-ACA5DC5B,third_party,2022-02-28,2023-02-28,60.96,14866.22,250
POL-D61C6A14,PH-ECDFB314,VH-C81303B0,fire_theft,2021-06-21,2022-06-21,408.99,57666.95,250
POL-DA343C71,PH-F6B4258A,VH-5BE9ECB6,fire_theft,2021-04-01,2022-04-01,303.1,49424.95,1000
POL-5CC82BD9,PH-0180BC22,VH-3E0C3333,comprehensive,2023-02-08,2024-02-08,114.04,7509.42,0
POL-7A5124F6,PH-13AEF2E9,VH-300BAB28,comprehensive,2023-01-18,2024-01-18,1621.49,143327.86,750
POL-7DC25396,PH-A71CB580,VH-B67C804D,comprehensive,2021-01-16,2022-01-16,308.04,17623.35,1000
POL-0C4EB6D4,PH-F455D8F8,VH-823AC4E3,comprehensive,2022-09-24,2023-09-24,57.54,8245.64,1000
POL-6410B3CF,PH-8B395D34,VH-D8DA5592,comprehensive,2021-11-16,2022-11-16,128.4,10394.86,750
POL-4082F3E1,PH-1FE4A6A9,VH-214401C4,comprehensive,2023-10-12,2024-10-11,162.34,10455.37,0
POL-AECD7D45,PH-FEBA4817,VH-CBDC4D0E,comprehensive,2021-09-14,2022-09-14,337.57,45838.72,250
POL-36AFED12,PH-D7BF949E,VH-1FCD2CB9,third_party,2021-06-28,2022-06-28,501.32,48594.84,0
POL-F84C38A3,PH-4FD6176C,VH-B1E08576,third_party,2021-09-21,2022-09-21,265.2,49239.78,1000
POL-AC1A2CD8,PH-22942F77,VH-A8F88882,comprehensive,2021-08-13,2022-08-13,979.72,94721.11,500
POL-3E123C22,PH-D0420E0B,VH-7786B1A8,third_party,2021-07-28,2022-07-28,725.68,151865.75,250
POL-21F63DC1,PH-2EA8C97C,VH-98C51596,comprehensive,2022-07-02,2023-07-02,235.48,31782.41,500
POL-7FDF9B20,PH-80F40B69,VH-83A0D926,fire_theft,2023-03-28,2024-03-27,138.58,28193.34,750
POL-8FA6E91C,PH-608D72ED,VH-806CCB45,comprehensive,2021-06-14,2022-06-14,172.72,18585.97,250
POL-DDCE8CDC,PH-EDF30D4E,VH-365258DF,comprehensive,2023-03-02,2024-03-01,189.41,23455.16,500
POL-E2290226,PH-F9E24418,VH-F1F8FA10,fire_theft,2023-04-19,2024-04-18,261.38,27003.49,1000
POL-987998AE,PH-32C28D47,VH-76905E9F,third_party,2022-06-20,2023-06-20,45.57,11507.66,750
POL-7319DE2D,PH-9852DA88,VH-6DD3CD68,third_party,2022-01-25,2023-01-25,136.4,24129.67,1000
POL-2E5AAF11,PH-A7DB767F,VH-D49D2D4D,fire_theft,2021-01-18,2022-01-18,332.4,38254.37,500
POL-572535FA,PH-71F1C5A0,VH-D9960E6E,third_party,2023-03-03,2024-03-02,64.59,15850.22,750
POL-C2F57530,PH-929CBD47,VH-EB506AB3,third_party,2023-09-29,2024-09-28,88.63,26011.99,0
POL-8D91320B,PH-B4476C7D,VH-1875C6D1,comprehensive,2023-11-13,2024-11-12,140.77,20922.28,500
POL-C678CFFD,PH-5F791EB2,VH-AEA8AE1B,third_party,2022-02-02,2023-02-02,205.61,27033.02,250
POL-4AD27111,PH-873D298B,VH-ABA88018,comprehensive,2022-12-03,2023-12-03,126.38,12613.57,0
POL-AA9A0C42,PH-B7A16D21,VH-8949E51F,comprehensive,2023-11-29,2024-11-28,461.15,56638.42,750
POL-C970E7E8,PH-2F93EB55,VH-F92CE28D,third_party,2021-01-14,2022-01-14,202.07,52780.97,0
POL-464707DF,PH-B3919352,VH-1BB4794D,third_party,2023-01-04,2024-01-04,453.41,52664.35,0
POL-54D5F787,PH-550BBA15,VH-C583E2C1,third_party,2022-11-08,2023-11-08,153.43,34932.23,0
POL-29943F2A,PH-ED14030F,VH-A9348F2A,comprehensive,2021-07-14,2022-07-14,907.85,86691.88,250
POL-0E2A6026,PH-905A23D1,VH-2F5BB76F,comprehensive,2021-11-08,2022-11-08,753.23,52449.3,500
POL-E9554D3C,PH-8375A679,VH-72E8F2E4,third_party,2023-12-16,2024-12-15,90.55,14914.79,0
POL-D34C1731,PH-D8586966,VH-5552B64D,third_party,2023-04-21,2024-04-20,147.42,33473.98,500
POL-A4B7BC69,PH-8981BFF9,VH-A2AB2EC4,fire_theft,2022-12-06,2023-12-06,771.07,72269.82,750
POL-C9E8B859,PH-AE9B06EB,VH-EA30921C,comprehensive,2022-06-14,2023-06-14,430.47,46221.46,250
POL-174EE291,PH-0A8F25F5,VH-D0F73CAF,comprehensive,2023-09-28,2024-09-27,927.44,53296.69,500
POL-0928424A,PH-006AA250,VH-587C5A54,fire_theft,2021-10-30,2022-10-30,900.46,92830.78,0
POL-48679B2D,PH-1F060D9E,VH-23B85E1D,fire_theft,2021-03-30,2022-03-30,318.77,37783.41,0
POL-4070FAA2,PH-D440C41D,VH-823CC865,comprehensive,2023-10-26,2024-10-25,1283.02,98506.94,250
POL-726675D0,PH-60974F90,VH-638F0BA3,third_party,2023-07-12,2024-07-11,792.23,116979.46,500
POL-54ABA6E4,PH-AD7002D4,VH-7B580AB5,third_party,2021-03-12,2022-03-12,164.55,43163.16,0
POL-3761E488,PH-0EED170A,VH-E404B623,comprehensive,2022-09-22,2023-09-22,444.59,28755.14,1000
POL-6DB7BC79,PH-2295EB75,VH-5C56DABC,third_party,2021-03-27,2022-03-27,158.76,32188.92,250
POL-067E0A3B,PH-CC29656F,VH-F2F6B76D,third_party,2023-05-05,2024-05-04,176.2,26782.22,750
POL-F00DA490,PH-0EB0B844,VH-62F24791,third_party,2023-02-24,2024-02-24,439.3,79832.48,750
POL-36C6148E,PH-6B7720DA,VH-06F80F37,fire_theft,2021-03-04,2022-03-04,364.17,52441.52,750
POL-097945C9,PH-50CA3791,VH-5AE39DE8,comprehensive,2023-04-21,2024-04-20,509.5,65493.51,1000
POL-430AB3CC,PH-F1D6F257,VH-BC9C84B6,comprehensive,2023-05-30,2024-05-29,640.23,56439.52,500
POL-225A5B74,PH-74ED1079,VH-AC7B9C28,fire_theft,2023-07-27,2024-07-26,241.06,18002.51,250
POL-2FCE5D17,PH-75ADE7BD,VH-63DC6A21,third_party,2021-01-10,2022-01-10,39.72,12605.72,500
POL-45003B11,PH-217BF1BA,VH-713142CF,fire_theft,2021-03-30,2022-03-30,164.21,21352.15,500
POL-F08F8E7A,PH-9E8447B5,VH-BAB08297,third_party,2022-03-03,2023-03-03,120.08,23199.65,500
POL-0D53D830,PH-0601A7B9,VH-C407D43B,comprehensive,2023-11-22,2024-11-21,220.99,21441.95,500
POL-8A71F242,PH-78BFA4B0,VH-38DD6649,third_party,2022-04-15,2023-04-15,547.5,97644.45,750
POL-DC925EEF,PH-18A1625C,VH-E3851FA4,fire_theft,2022-03-30,2023-03-30,352.67,52533.97,0
POL-ACE48527,PH-D1CCA316,VH-17C30115,comprehensive,2021-03-19,2022-03-19,1510.02,131517.81,0
POL-D2BC1249,PH-4E2BD5D9,VH-37042432,third_party,2021-03-15,2022-03-15,439.82,88888.63,750
POL-85B02DDA,PH-F978E25A,VH-A8B19244,comprehensive,2022-05-07,2023-05-07,223.79,15596.15,250
POL-25596B22,PH-B819A8C1,VH-77C5DB1A,comprehensive,2023-08-06,2024-08-05,511.96,40974.43,500
POL-F0E6F666,PH-A8B4A116,VH-C59909A1,comprehensive,2023-02-02,2024-02-02,317.0,18186.04,750
POL-BE0CF9BF,PH-DA1FAC90,VH-16FCFCE4,comprehensive,2023-06-21,2024-06-20,74.75,7514.21,0
POL-9419C6B8,PH-468ACADD,VH-3A80ABCA,third_party,2022-10-28,2023-10-28,185.47,37647.05,750
POL-9A893F59,PH-410E99DE,VH-B141DE30,comprehensive,2023-04-11,2024-04-10,176.53,10710.3,500
POL-5BCD02C6,PH-482D77EF,VH-52EB36ED,fire_theft,2021-03-03,2022-03-03,911.82,72079.23,1000
POL-0815C30E,PH-0122657D,VH-801F06B1,third_party,2021-09-30,2022-09-30,81.6,15815.15,750
POL-18A869FD,PH-FF332C60,VH-FD181B6E,third_party,2023-03-22,2024-03-21,427.73,49158.27,1000
POL-497DA781,PH-8AE9E18D,VH-EEE11619,comprehensive,2021-10-16,2022-10-16,748.43,83446.36,1000
POL-160DC786,PH-1AE61598,VH-1002D359,fire_theft,2023-08-08,2024-08-07,120.78,13992.42,250
POL-B1EEB13D,PH-1D0D03E4,VH-A8A0B29A,comprehensive,2022-08-01,2023-08-01,373.44,45271.22,500
POL-C7F1F8FD,PH-F12B53BE,VH-44D694E8,third_party,2022-09-16,2023-09-16,509.28,82372.0,500
POL-7905544B,PH-7B1739A2,VH-281E781E,fire_theft,2021-11-24,2022-11-24,432.21,34228.15,250
POL-7B67BF9F,PH-2F619EB1,VH-E92BF733,comprehensive,2021-04-26,2022-04-26,169.76,16136.49,1000
POL-BE5A5FEA,PH-A7A5E19D,VH-8B3C47E3,fire_theft,2022-05-20,2023-05-20,703.5,132059.6,250
POL-836E070B,PH-B1BD84CE,VH-C08CEA66,third_party,2021-06-19,2022-06-19,164.65,47418.68,250
POL-3D9F7F3E,PH-791325D5,VH-0E42B05C,third_party,2021-11-03,2022-11-03,216.86,58753.97,500
POL-EE6CDB03,PH-76C0911A,VH-D97E1158,fire_theft,2021-04-04,2022-04-04,217.31,34589.27,250
POL-4F2855A9,PH-B77CFAF7,VH-AE96D1F3,comprehensive,2023-03-06,2024-03-05,147.14,7195.0,1000
POL-D734A532,PH-FC580625,VH-CA40268F,fire_theft,2023-07-22,2024-07-21,100.8,14742.34,250
POL-77980FE3,PH-C1F524AB,VH-6A67A0DF,comprehensive,2021-01-14,2022-01-14,42.37,5098.65,500
POL-36BEDAE9,PH-D40E149D,VH-A6E51CC1,comprehensive,2022-10-05,2023-10-05,511.37,31280.5,0
POL-8C42CE80,PH-BFE48327,VH-AA9840B4,comprehensive,2023-06-29,2024-06-28,964.13,151135.05,0
POL-3F6C1DE8,PH-F60C5F3F,VH-D80C099C,comprehensive,2023-06-06,2024-06-05,514.1,32718.43,1000
POL-59AFE9E2,PH-B7F2EBF0,VH-8BF631B3,third_party,2021-03-25,2022-03-25,81.3,15260.71,500
POL-7839F9A8,PH-73121D42,VH-F32922F6,comprehensive,2022-02-21,2023-02-21,462.9,30451.46,0
POL-53E83046,PH-C5E04C51,VH-B5245BFB,comprehensive,2021-03-27,2022-03-27,702.11,85879.99,500
POL-32CE8D15,PH-3543CD7F,VH-AF320318,third_party,2021-09-28,2022-09-28,652.05,104365.96,1000
POL-3F3E636E,PH-B91B1880,VH-99FFC9DF,fire_theft,2021-05-09,2022-05-09,68.08,10564.34,1000
POL-AB093FC0,PH-3CB984BD,VH-1F04C484,third_party,2022-06-22,2023-06-22,41.29,5733.83,500
POL-29865093,PH-13E3F8DE,VH-4B72E8E6,fire_theft,2023-10-15,2024-10-14,185.66,32876.74,1000
POL-5DDFA466,PH-58D2311A,VH-832FBB2B,third_party,2023-02-15,2024-02-15,118.92,37208.1,750
POL-122AC22B,PH-486420AD,VH-7501FD48,comprehensive,2021-03-03,2022-03-03,81.59,12161.41,750
POL-9C94C4DC,PH-F7DA80E4,VH-09CBD8A5,fire_theft,2021-08-10,2022-08-10,186.1,19450.41,1000
POL-2D75D777,PH-0DA2646A,VH-7AA856C6,third_party,2023-08-15,2024-08-14,308.62,31167.11,750
POL-DDE9F845,PH-EB45034D,VH-943C0044,fire_theft,2021-10-09,2022-10-09,142.44,13142.02,250
POL-67A981CC,PH-C064A247,VH-35ACA6E3,comprehensive,2022-04-03,2023-04-03,767.2,57062.11,0
POL-CF3765D2,PH-53046B09,VH-5B430CBC,comprehensive,2022-06-04,2023-06-04,501.11,66121.18,500
POL-2F24FE3E,PH-C4904906,VH-8EDA9B90,third_party,2023-05-02,2024-05-01,133.62,39393.19,500
POL-69D7337D,PH-A999D20B,VH-661652F2,third_party,2021-02-27,2022-02-27,81.49,25838.74,250
