vehicle_id,policyholder_id,make,model,year,fuel_type,estimated_value,plate_number
VH-F854FFAD,PH-C6F3D716,Dacia,Sandero,2020,hybrid,6197.38,RL679CB
VH-3A4DD047,PH-683703CD,Volkswagen,Golf,2023,diesel,27627.65,SO679KZ
VH-9DE8CF8C,PH-87BC057B,Fiat,500,2024,diesel,14564.02,YE777QU
VH-D2A7049A,PH-92AA6081,Toyota,RAV4,2022,petrol,23970.57,XK996CZ
VH-A90B766D,PH-52F6F889,Fiat,Punto,2016,electric,2742.6,HM074KR
VH-3CA4941B,PH-B1F7186B,Peugeot,208,2021,electric,5581.06,FW481AS
VH-A55B30B9,PH-DCAD2353,Alfa Romeo,Stelvio,2022,hybrid,40901.87,GT098RS
VH-30162D06,PH-1B6526A3,Renault,Captur,2016,petrol,11712.41,YP182QA
VH-2727F938,PH-62E4A164,Volkswagen,Polo,2015,petrol,6059.04,IZ971GH
VH-31A92082,PH-99B0AB22,Citroen,C3,2023,petrol,12493.64,MS056BP
VH-755A4494,PH-49DCCF66,Lancia,Ypsilon,2017,diesel,7109.9,NA641QK
VH-EA982EA7,PH-27B544E9,Toyota,Corolla,2022,diesel,14108.81,DR224FJ
VH-D1E967E5,PH-D116DC86,Hyundai,Tucson,2017,petrol,11238.72,EJ209NV
VH-9A5713C1,PH-D629E0D1,BMW,X1,2024,petrol,22371.62,FA461WB
VH-ACAAEB9E,PH-55DDE625,Audi,A3,2021,hybrid,32155.42,EN610KI
VH-8FBB5262,PH-E3FE149D,Volkswagen,Golf,2020,petrol,26816.23,HY378TS
VH-D37314A2,PH-5A663C85,Fiat,Panda,2017,hybrid,4512.88,DI786BK
VH-586E788A,PH-1CFF040B,Ford,Fiesta,2014,electric,2020.52,PA304NU
VH-71934CD3,PH-B774CBAC,Opel,Corsa,2018,petrol,13108.44,HY249RU
VH-6F40DCA5,PH-17204941,Citroen,C3,2020,petrol,15288.22,OC325UQ
VH-60C705F3,PH-6A027F54,Volkswagen,Polo,2023,diesel,12848.97,ZH870RN
VH-CEFE4BDE,PH-68E02777,Toyota,Corolla,2024,petrol,32031.06,OT200JU
VH-5E0DDF3D,PH-F97FFBAC,Fiat,Tipo,2019,electric,16197.49,IT653IV
VH-A945936A,PH-F595A302,Fiat,500,2020,diesel,4075.51,BF914XR
VH-3F4E71B2,PH-6DB57ADF,Dacia,Duster,2016,hybrid,11592.33,MW846DE
VH-C19B45FB,PH-8B57C30B,Fiat,Panda,2018,hybrid,6538.8,TQ547ZK
VH-661CC91B,PH-ABC035AD,Toyota,Corolla,2015,hybrid,5018.81,HV379KK
VH-1A7A83E4,PH-C653A202,Alfa Romeo,Giulietta,2017,diesel,10225.65,AW097EU
VH-7160D941,PH-4F343F9C,Citroen,C3,2020,petrol,15246.33,AV876FN
VH-7D758AA7,PH-26DBD4D0,Renault,Clio,2021,petrol,11500.0,ZU807UC
VH-108F4E1D,PH-2B42D6BA,Volkswagen,Polo,2019,diesel,13376.28,LM620TL
VH-35D909E5,PH-03486869,Fiat,Panda,2021,petrol,7924.12,OL030GO
VH-CE8FA62D,PH-FB5521B4,Toyota,RAV4,2021,diesel,27856.21,VW194LG
VH-04827A00,PH-57082BA5,Toyota,Corolla,2023,hybrid,32216.41,HP479LB
VH-1C53F4A3,PH-313E1778,Fiat,Tipo,2023,hybrid,14168.79,AG149UM
VH-6B22E2E5,PH-353DF6F2,Alfa Romeo,Stelvio,2017,hybrid,28469.44,FR999GV
VH-CB9E59A7,PH-D993F4E2,Fiat,Panda,2018,hybrid,5027.21,CS124EX
VH-34AEEF99,PH-5012475B,Fiat,500,2017,petrol,7632.04,QX308ZI
VH-848019DF,PH-2ABDCC03,Alfa Romeo,Stelvio,2024,hybrid,26521.38,VR605OA
VH-3B7FB873,PH-CEE5C54D,Hyundai,i20,2021,petrol,17285.62,NI877DV
VH-4C26376C,PH-991BEFC2,Alfa Romeo,Giulietta,2013,petrol,5696.8,QY304BX
VH-35EDFAD5,PH-EEDA1F9C,Mercedes-Benz,Classe A,2022,diesel,26503.99,RO635KA
VH-569D69DD,PH-BD1E7FCF,Volkswagen,Golf,2015,diesel,10163.31,SZ361AX
VH-E02CF5B7,PH-CA499410,Toyota,Corolla,2021,diesel,22256.11,GF110KJ
VH-BD7CEC1F,PH-31E1F958,Renault,Clio,2018,hybrid,12364.63,NZ543AS
VH-1D4DB17B,PH-660442B0,Fiat,Panda,2018,diesel,7213.03,PH583KB
VH-DD76DDF0,PH-EFE0261C,Fiat,Tipo,2021,petrol,14511.11,YT179TO
VH-5C44BEDF,PH-BD119156,Fiat,Panda,2012,hybrid,3385.31,CB512BM
VH-EB6E93C8,PH-55800FBA,Dacia,Duster,2015,petrol,7035.68,ZO961BJ
VH-9CC2376C,PH-E94D5C3A,Ford,Focus,2016,hybrid,7840.73,VB466RB
VH-97DD1D4D,PH-BEF101E1,Volkswagen,Golf,2018,electric,20174.29,TY990NH
VH-A12553AB,PH-4B658A46,Alfa Romeo,Giulietta,2016,hybrid,5257.16,MO991ZN
VH-BB9A0922,PH-961DAF17,Renault,Captur,2019,petrol,11782.33,UV785ZA
VH-F55F1731,PH-F90198F7,BMW,Serie 3,2015,petrol,7994.11,DD193AT
VH-ACA5DC5B,PH-5E103FDA,Hyundai,i20,2017,diesel,3759.95,UQ679IL
VH-C81303B0,PH-ECDFB314,Renault,Clio,2024,diesel,20384.09,FH002EZ
VH-5BE9ECB6,PH-F6B4258A,Peugeot,308,2018,diesel,13452.62,SN549QU
VH-3E0C3333,PH-0180BC22,Renault,Clio,2012,diesel,3050.75,EP545JT
VH-300BAB28,PH-13AEF2E9,BMW,X1,2022,diesel,43323.05,QS203VV
VH-B67C804D,PH-A71CB580,Fiat,500,2016,diesel,7403.76,NL315GG
VH-823AC4E3,PH-F455D8F8,Fiat,500,2014,petrol,1749.44,VP795WW
VH-D8DA5592,PH-8B395D34,Fiat,500,2012,hybrid,3604.7,TJ217NK
VH-214401C4,PH-1FE4A6A9,Fiat,Punto,2017,petrol,4397.08,PH337AU
VH-CBDC4D0E,PH-FEBA4817,Volkswagen,Golf,2015,petrol,11051.23,HP563XY
VH-1FCD2CB9,PH-D7BF949E,Dacia,Duster,2022,petrol,22311.35,FA150LA
VH-B1E08576,PH-4FD6176C,Volkswagen,Polo,2021,hybrid,15708.36,EJ950OG
VH-A8F88882,PH-22942F77,Fiat,Tipo,2023,diesel,22423.9,GG342JF
VH-7786B1A8,PH-D0420E0B,Volkswagen,T-Roc,2022,diesel,31371.13,RH024FG
VH-98C51596,PH-2EA8C97C,Lancia,Ypsilon,2020,diesel,7948.19,AV153EM
VH-83A0D926,PH-80F40B69,Fiat,500,2015,hybrid,6231.51,OH528LZ
VH-806CCB45,PH-608D72ED,Fiat,500,2012,diesel,5097.08,WC233DE
VH-365258DF,PH-EDF30D4E,Fiat,500,2023,petrol,6115.11,WL630KT
VH-F1F8FA10,PH-F9E24418,Peugeot,208,2020,electric,12361.82,RJ530ZE
VH-76905E9F,PH-32C28D47,Renault,Clio,2015,petrol,3092.81,EQ317SP
VH-6DD3CD68,PH-9852DA88,Citroen,C3,2015,petrol,7541.8,FQ857MY
VH-D49D2D4D,PH-A7DB767F,Fiat,500,2022,petrol,10959.84,FK877WL
VH-D9960E6E,PH-71F1C5A0,Renault,Clio,2015,diesel,3229.28,IS903MU
VH-EB506AB3,PH-929CBD47,Hyundai,i20,2019,diesel,6099.84,GO346HM
VH-1875C6D1,PH-B4476C7D,Fiat,Panda,2016,hybrid,4446.66,SF812LI
VH-AEA8AE1B,PH-5F791EB2,Fiat,Panda,2020,electric,9111.8,JO390QL
VH-ABA88018,PH-873D298B,Fiat,Panda,2012,petrol,2847.28,QT776KN
VH-8949E51F,PH-B7A16D21,Lancia,Ypsilon,2022,hybrid,12168.61,LZ460PK
VH-F92CE28D,PH-2F93EB55,Volkswagen,Golf,2021,diesel,11636.38,OH151IU
VH-1BB4794D,PH-B3919352,Audi,Q3,2021,petrol,22637.2,QQ143RU
VH-C583E2C1,PH-550BBA15,Volkswagen,Golf,2024,hybrid,8774.15,DC835LB
VH-A9348F2A,PH-ED14030F,Volkswagen,T-Roc,2019,hybrid,21198.04,VK439IJ
VH-2F5BB76F,PH-905A23D1,Audi,A3,2019,petrol,22471.88,YW404XR
VH-72E8F2E4,PH-8375A679,Fiat,Panda,2021,petrol,4659.68,LZ907MM
VH-5552B64D,PH-D8586966,Citroen,C3,2024,diesel,8348.41,MH373HX
VH-A2AB2EC4,PH-8981BFF9,BMW,Serie 3,2018,petrol,25057.06,XO153KZ
VH-EA30921C,PH-AE9B06EB,Citroen,C3,2022,petrol,11912.9,YW778NG
VH-D0F73CAF,PH-0A8F25F5,Toyota,RAV4,2017,petrol,22725.2,LE407SE
VH-587C5A54,PH-006AA250,BMW,Serie 3,2022,diesel,29885.1,KH684NN
VH-23B85E1D,PH-1F060D9E,Renault,Captur,2017,diesel,13428.95,SA022SZ
VH-823CC865,PH-D440C41D,Volkswagen,T-Roc,2022,diesel,27905.41,SU996ZT
VH-638F0BA3,PH-60974F90,Mercedes-Benz,Classe A,2022,diesel,35663.34,GM637CR
VH-7B580AB5,PH-AD7002D4,Fiat,Tipo,2017,hybrid,10890.34,KS412OU
VH-E404B623,PH-0EED170A,Toyota,Yaris,2023,diesel,11535.63,VR970FB
VH-5C56DABC,PH-2295EB75,Renault,Clio,2018,petrol,8280.97,GC334MJ
VH-F2F6B76D,PH-CC29656F,Toyota,Yaris,2016,diesel,8127.46,OB025LQ
VH-62F24791,PH-0EB0B844,Fiat,Tipo,2024,hybrid,22897.95,MF867DE
VH-06F80F37,PH-6B7720DA,Toyota,Yaris,2019,hybrid,12555.14,MG467EG
VH-5AE39DE8,PH-50CA3791,Dacia,Duster,2021,petrol,16622.69,TS387JS
VH-BC9C84B6,PH-F1D6F257,Peugeot,308,2020,petrol,16135.16,GA169EO
VH-AC7B9C28,PH-74ED1079,Peugeot,208,2017,hybrid,8514.77,QK779SP
VH-63DC6A21,PH-75ADE7BD,Alfa Romeo,Giulietta,2012,electric,2524.02,XC754JU
VH-713142CF,PH-217BF1BA,Lancia,Ypsilon,2024,diesel,6014.55,TZ329FN
VH-BAB08297,PH-9E8447B5,Fiat,Panda,2016,petrol,6299.3,OM916VF
VH-C407D43B,PH-0601A7B9,Fiat,Panda,2016,petrol,5686.21,HF841IU
VH-38DD6649,PH-78BFA4B0,Audi,A3,2023,diesel,29093.46,PN151YR
VH-E3851FA4,PH-18A1625C,Fiat,Tipo,2019,petrol,13209.46,QY672YK
VH-17C30115,PH-D1CCA316,Volkswagen,T-Roc,2022,hybrid,33300.5,GQ017BO
VH-37042432,PH-4E2BD5D9,Fiat,500,2023,electric,18811.42,KX600MG
VH-A8B19244,PH-F978E25A,Fiat,Panda,2016,petrol,5522.17,DW777EK
VH-77C5DB1A,PH-B819A8C1,Fiat,500,2020,hybrid,13496.18,CR727VH
VH-C59909A1,PH-A8B4A116,Dacia,Sandero,2019,petrol,7294.82,FF124AT
VH-16FCFCE4,PH-DA1FAC90,Fiat,500,2013,diesel,1939.02,RX104MF
VH-3A80ABCA,PH-468ACADD,Citroen,C3,2022,hybrid,8531.37,OL083FG
VH-B141DE30,PH-410E99DE,Fiat,Panda,2023,hybrid,4922.58,WB816UZ
VH-52EB36ED,PH-482D77EF,BMW,Serie 3,2021,diesel,33202.75,OB063TA
VH-801F06B1,PH-0122657D,Fiat,Panda,2020,diesel,5534.47,LH060GC
VH-FD181B6E,PH-FF332C60,Peugeot,208,2023,hybrid,19915.96,KG131VV
VH-EEE11619,PH-8AE9E18D,Volkswagen,T-Roc,2020,petrol,17370.86,XF815BN
VH-1002D359,PH-1AE61598,Toyota,Corolla,2016,diesel,5388.28,RU386GT
VH-A8A0B29A,PH-1D0D03E4,Dacia,Duster,2018,electric,10515.47,DH552GD
VH-44D694E8,PH-F12B53BE,Mercedes-Benz,GLA,2024,petrol,33028.52,MU637KA
VH-281E781E,PH-7B1739A2,Citroen,C3,2021,electric,14054.99,CV950IU
VH-E92BF733,PH-2F619EB1,Fiat,500,2021,petrol,4260.8,GN971JY
VH-8B3C47E3,PH-A7A5E19D,Peugeot,308,2022,petrol,26769.4,ID625TK
VH-C08CEA66,PH-B1BD84CE,Alfa Romeo,Giulietta,2016,diesel,10260.94,UY715WK
VH-0E42B05C,PH-791325D5,Lancia,Ypsilon,2022,diesel,13652.96,TS838OM
VH-D97E1158,PH-76C0911A,Fiat,500,2017,petrol,8236.57,HA143TY
VH-AE96D1F3,PH-B77CFAF7,Toyota,Yaris,2017,diesel,3182.26,YH025TC
VH-CA40268F,PH-FC580625,Lancia,Ypsilon,2020,electric,3294.43,JG303EM
VH-6A67A0DF,PH-C1F524AB,Fiat,500,2013,diesel,1377.28,XK508EI
VH-A6E51CC1,PH-D40E149D,Mercedes-Benz,Classe A,2018,electric,15188.62,UJ355YA
VH-AA9840B4,PH-BFE48327,Mercedes-Benz,GLA,2024,diesel,31033.13,GR339BV
VH-D80C099C,PH-F60C5F3F,Renault,Captur,2018,diesel,15051.87,QK017FO
VH-8BF631B3,PH-B7F2EBF0,Lancia,Ypsilon,2014,hybrid,3819.07,GB321UE
VH-F32922F6,PH-73121D42,Volkswagen,T-Roc,2020,petrol,14912.92,SR381ZG
VH-B5245BFB,PH-C5E04C51,Volkswagen,Golf,2023,hybrid,23688.46,XO336JF
VH-AF320318,PH-3543CD7F,Volkswagen,T-Roc,2021,petrol,31031.29,TH973JJ
VH-99FFC9DF,PH-B91B1880,Fiat,500,2021,electric,3347.52,ZP662CL
VH-1F04C484,PH-3CB984BD,Fiat,Panda,2012,electric,2203.88,ON627QT
VH-4B72E8E6,PH-13E3F8DE,Alfa Romeo,Giulietta,2019,diesel,8881.2,YM498NC
VH-832FBB2B,PH-58D2311A,Dacia,Sandero,2020,petrol,7465.87,RX674FI
VH-7501FD48,PH-486420AD,Fiat,Panda,2015,diesel,2716.72,JM715RT
VH-09CBD8A5,PH-F7DA80E4,Fiat,Tipo,2016,diesel,6223.47,WP300GE
VH-7AA856C6,PH-0DA2646A,Volkswagen,Golf,2018,electric,13608.56,PM567NM
VH-943C0044,PH-EB45034D,Dacia,Sandero,2016,diesel,4622.21,US016CN
VH-35ACA6E3,PH-C064A247,Hyundai,i20,2021,petrol,17230.43,GY587NI
VH-5B430CBC,PH-53046B09,Ford,Fiesta,2022,petrol,14783.32,WB633UM
VH-8EDA9B90,PH-C4904906,Fiat,Panda,2017,hybrid,7939.16,BL024UW
VH-661652F2,PH-A999D20B,Volkswagen,Golf,2014,electric,5373.48,VE992IH
VH-9246699A,PH-95EC1BEE,Alfa Romeo,Stelvio,2018,petrol,16597.13,DY669CU
VH-B844F6B2,PH-34CD035B,Fiat,Tipo,2024,diesel,8847.09,QG644NF
VH-65C3A08A,PH-CB8F6F81,Toyota,Yaris,2022,petrol,9031.03,SJ119XN
VH-04DE9B03,PH-F9606E97,Lancia,Ypsilon,2012,hybrid,3504.92,EI640XG
VH-80DF3B06,PH-E39B43CA,Toyota,Corolla,2021,electric,10521.42,PA686DC
VH-F98D9759,PH-1703A095,Fiat,500,2018,diesel,9733.9,XN522FF
VH-55D61E5D,PH-BBD66924,Mercedes-Benz,GLA,2021,petrol,40173.54,PF793QD
VH-63E9ED50,PH-1937B4F5,Peugeot,208,2016,hybrid,6096.97,GB346XF
VH-C024DD0F,PH-CBB012C5,Volkswagen,Golf,2018,petrol,9934.33,UT214DU
VH-B490EF84,PH-043A4B94,Jeep,Renegade,2015,electric,5716.96,MD509IC
VH-CACDE624,PH-8B257592,Fiat,Panda,2023,electric,13472.98,PP100VY
VH-F510E1E9,PH-E5D75CE6,Fiat,Tipo,2019,hybrid,8720.01,YA013VS
VH-3E466634,PH-CB5613FF,Fiat,Punto,2011,electric,1230.12,MT477QY
VH-783AD64E,PH-1BC1EECF,Citroen,C3,2018,hybrid,11675.02,TN553KL
VH-CBD13593,PH-CBFFDC46,Renault,Captur,2022,petrol,13928.13,VM055MT
VH-E85C1A26,PH-AB0461E7,Citroen,C3,2022,petrol,6288.12,AO209WM
VH-57AAE932,PH-9E1392C6,Lancia,Ypsilon,2023,electric,6357.41,QI357WY
VH-FAD03B86,PH-55C50288,BMW,X1,2021,petrol,23851.77,QN050VG
VH-D177832A,PH-366E7625,Volkswagen,Golf,2012,electric,9407.21,BZ739XK
VH-BE644025,PH-D3C1C363,Fiat,500,2016,diesel,9247.91,MX156TZ
VH-D2AC1BFD,PH-E0A251BA,Lancia,Ypsilon,2024,hybrid,4078.98,VW649DX
VH-2FE8B67A,PH-26D4F0B0,Peugeot,208,2024,hybrid,11072.45,WE802QS
VH-D43D00D7,PH-D395987A,Toyota,Yaris,2017,petrol,5731.26,ZC872JV
VH-898CA061,PH-85C7F728,Dacia,Sandero,2023,hybrid,9799.63,DP333VR
VH-12FD5FD8,PH-8FF60149,Fiat,Tipo,2017,diesel,11958.01,YV160WC
VH-DF2E1ACF,PH-11E730E6,Lancia,Ypsilon,2024,hybrid,14004.17,KM347YI
VH-76F60B2B,PH-75172A0C,Renault,Captur,2023,petrol,10408.49,VE715RU
VH-3D78F410,PH-06CEC3D7,Fiat,Panda,2016,diesel,6626.47,SY566TC
VH-8542946E,PH-617299F1,Fiat,Punto,2012,petrol,1999.99,ZH141HI
VH-B950344A,PH-4A8BE052,Fiat,Panda,2018,diesel,6141.45,CK319XS
VH-C2669C37,PH-B6718598,Peugeot,208,2020,hybrid,14454.21,EK040MS
VH-D62FA1E0,PH-11DAAEA8,Opel,Corsa,2013,petrol,6645.02,MN528KY
VH-3D97EA9A,PH-2E270486,Mercedes-Benz,GLA,2020,diesel,28727.47,DM752AR
VH-DE5729E2,PH-3894DC8F,Renault,Clio,2024,hybrid,13267.33,HP294VO
VH-550FE4DB,PH-886D3802,Audi,A3,2022,hybrid,28091.69,XV095ZW
VH-CC7DAF7A,PH-F7F334AD,Peugeot,308,2020,hybrid,6561.06,QW973DI
VH-F4BA9834,PH-539379A7,Renault,Clio,2021,petrol,7243.22,JW523MB
VH-A4729143,PH-CD2E42CD,Mercedes-Benz,Classe A,2024,petrol,46589.97,WX276BY
VH-122A08D1,PH-BEBD2E74,Opel,Corsa,2013,diesel,1768.31,VF656AR
VH-756A77C9,PH-24FB4481,Dacia,Duster,2014,petrol,5602.74,LY184MM
VH-09223411,PH-A069E235,Fiat,Tipo,2017,petrol,6948.39,WG612WR
VH-B328BB67,PH-87C474A1,Dacia,Sandero,2024,diesel,9916.25,YZ047SZ
VH-1FF726A1,PH-583EC35E,Volkswagen,Golf,2016,petrol,11018.85,SE742OW
VH-9A3D9821,PH-94E8818C,Volkswagen,Golf,2016,diesel,13226.6,GZ059XG
VH-D843C2AF,PH-4688E60D,Alfa Romeo,Stelvio,2019,diesel,21513.77,VZ620EM
VH-6166F0D0,PH-9468EC66,Fiat,Tipo,2024,diesel,13023.22,LP185FB
VH-40F46D63,PH-FC10DD91,Ford,Focus,2021,diesel,16589.89,EU301XM
VH-A280EEEA,PH-EA14A575,Alfa Romeo,Giulietta,2014,petrol,4901.0,MP926JW
VH-12A6D0C7,PH-AAE98DFB,Opel,Corsa,2021,diesel,5039.89,YO475UM
VH-BB70E789,PH-167C12CA,Fiat,Punto,2017,petrol,4948.67,DD783CD
VH-16490241,PH-942563CF,Fiat,Punto,2015,petrol,3066.0,SS419SP
VH-11E234B8,PH-94F380CC,Ford,Fiesta,2019,petrol,9256.87,MP649UW
VH-A906E629,PH-AF5966F6,Ford,Focus,2018,hybrid,10356.04,DK826CW
VH-5EE2C9A3,PH-5F53999B,Volkswagen,T-Roc,2023,petrol,32648.71,MR871RZ
VH-1B6467CD,PH-7324BDD1,Fiat,Tipo,2022,hybrid,14729.11,YY129GV
VH-5A9F9D44,PH-76EACAA6,Ford,Focus,2014,hybrid,3550.72,AR510OZ
VH-95F9636D,PH-B63CDE96,Volkswagen,T-Roc,2018,petrol,16242.31,SG184UF
VH-3477576C,PH-19D32B2C,BMW,Serie 3,2021,hybrid,37450.48,CD582QJ
VH-4FFC586D,PH-DC284F5D,Renault,Captur,2017,electric,6463.92,VA084HJ
VH-C58A0BB2,PH-85374382,Ford,Fiesta,2010,petrol,5777.67,ES585PW
